Covidence #,Study ID,Title,Reviewer Name,Study ID (dup),Title (dup),Journal Subject Area (Scimago classification),What is the type of study?,What are the objectives of the study?,Which RL technique is used?,Which finance application is tested?,What are the stated key results of the study?,What are the stated limitations of the study?,What asset classes are in the dataset?,What are the number of assets in the dataset?,What is the nature of the asset price dataset?,What is the granularity of the price dataset?,What is the format of the price dataset?,What other datasets are used in the study?,What is the time frame of time series data used?:,Date Start,Date End,Is all used and produced data made publicly available and referred to in the article?,Which continents are represented in the price dataset?,Is dataset quality discussed in article?,Is out-of-sample testing applied?,Was the model tested on diverse test sets?,Was the model tested across different datasets or applications?,Is the non-stationarity problem of financial markets explicitly addressed?,Are all performance results published to avoid post-selection?,Is the process of hyperparameter tuning explicitly described?,Which evaluation metrics are used?,Are results validated using statistical tests or confidence intervals?,Is the code or workflow made publicly available and referred to?,What is the implementation status?,Does the study conduct a benchmark?,What is the model benchmarked against?,Is a standard dataset used for all models?,Does study mention Transfer Learning or similar method as potential avenue for research?,Does study mention alternative generalization methods?,Does the study propose a framework to structure RL research in finance?
460,Muminov 2024,Enhanced Bitcoin Price Direction Forecasting With DQN,Mathis Jander,Muminov2024,Enhanced Bitcoin Price Direction Forecasting With DQN,"Computer Science, Engineering, Materials Science",Primary,Develop a DQN-based model for Bitcoin price direction forecasting.,Value-based Method,Other: Price Direction Forecasting,"Assembled dataset capturing Bitcoin ecosystem.
Ranked features with largest correlation to price direction changes.
Developed a reward function designed to enhance prediction of Bitcoin price movements.","Possibly overlooked influential data sources.
Overestimation bias of DQN.
Magnitude of price changes not considered.
Limited to Bitcoin.
Did not simulate complexities of real-world trading environments.",Currency,1,Real-world Data,Other: Hourly,Time Series,Market Data; Social Media Data; Other: Search Data,,01.04.2018,14.11.2018,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different timeframes,No,No,Yes,No,"Other: F1, Precision, Recall, Confusion matrix",No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,Yes,No,No
460,Muminov 2024,Enhanced Bitcoin Price Direction Forecasting With DQN,Consensus,Muminov2024,Enhanced Bitcoin Price Direction Forecasting With DQN,"Computer Science, Engineering, Materials Science",Primary,Develop a DQN-based model for Bitcoin price direction forecasting.,Value-based Method,Other: Price Direction Forecasting,"Assembled dataset capturing Bitcoin ecosystem.
Ranked features with largest correlation to price direction changes.
Developed a reward function designed to enhance prediction of Bitcoin price movements.","Possibly overlooked influential data sources.
Overestimation bias of DQN.
Magnitude of price changes not considered.
Limited to Bitcoin.
Did not simulate complexities of real-world trading environments.",Currency,1,Real-world Data,Other: Hourly,Time Series,Market Data; Social Media Data; Other: Search Data,,01.04.2018,14.11.2018,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different timeframes,No,No,Yes,No,"Other: F1, Precision, Recall, Confusion matrix",No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,Yes,No,No
409,Shahbazi 2021,Improving the cryptocurrency price prediction performance based on reinforcement learning,Mathis Jander,Shahzabi2021,Improving the Cryptocurrency Price Prediction Performance Based on Reinforcement Learning,"Computer Science, Decision Sciences, Engineering, Mathematics",Primary,Develop an RL-based model to predict the prices of Litecoin and Monero.,Other: not specified,Other: Price Prediction,"Applied RL to predict prices for Monero and Litecoin.
Evaluated proposed system.
Used blockchain framework to create environment for price prediction.",none,Crypto,2,Real-world Data,Daily,Time Series,Market Data; Social Media Data; Other: Search Trend Data,,01.01.2015,31.12.2020,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series,No,No,Yes,No,"Other: MSE, RMSE, MAE, MAPE",No,No,Simulation-based,No,n/a,n/a,No,No,No
409,Shahbazi 2021,Improving the cryptocurrency price prediction performance based on reinforcement learning,Consensus,Shahzabi2021,Improving the Cryptocurrency Price Prediction Performance Based on Reinforcement Learning,"Computer Science, Decision Sciences, Engineering, Mathematics",Primary,Develop an RL-based model to predict the prices of Litecoin and Monero.,Other: not specified,Other: Price Prediction,"Applied RL to predict prices for Monero and Litecoin.
Evaluated proposed system.
Used blockchain framework to create environment for price prediction.",none,Crypto,2,Real-world Data,Daily,Time Series,Market Data; Social Media Data; Other: Search Trend Data,,01.01.2015,31.12.2020,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series,No,No,Yes,No,"Other: MSE, RMSE, MAE, MAPE",No,No,Simulation-based,No,n/a,n/a,No,No,No
399,Li 2023,Optimal liquidation of foreign currencies when FX rates follow a generalised Ornstein-Uhlenbeck process,Mathis Jander,Li2023b,Optimal liquidation of foreign currencies when FX rates follow a generalised Ornstein-Uhlenbeck process,Computer Science,Primary,Solve the foreign currency liquidation problem.,Value-based Method; Policy-based Method,Optimal Order Execution,"Developed new algorithm that is quasi-optimal, outperforms state-of-the-art DRL approaches and is simpler and runs faster SDP.",none,Currency,3,Mixed,Daily,Time Series,None,,04.01.2000,29.01.2019,No,Asia; Europe; North America,No,Yes,Different time series; Different timeframes,No,No,Yes,Yes,Other: Liquidation optimality,No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
399,Li 2023,Optimal liquidation of foreign currencies when FX rates follow a generalised Ornstein-Uhlenbeck process,Consensus,Li2023b,Optimal liquidation of foreign currencies when FX rates follow a generalised Ornstein-Uhlenbeck process,Computer Science,Primary,Solve the foreign currency liquidation problem.,Value-based Method; Policy-based Method,Optimal Order Execution,"Developed new algorithm that is quasi-optimal, outperforms state-of-the-art DRL approaches and is simpler and runs faster SDP.",none,Currency,3,Mixed,Daily,Time Series,None,,04.01.2000,29.01.2019,No,Asia; Europe; North America,No,Yes,Different time series; Different timeframes,No,No,Yes,Yes,Other: Liquidation optimality,No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
395,Carta 2021,A multi-layer and multi-ensemble stock trader using deep learning and deep reinforcement learning,Mathis Jander,Carta 2020,A multi‑layer and multi‑ensemble stock trader using deep learning and deep reinforcement learning,Computer Science,Primary,"To design a multi-layer, multi-ensemble stock trader that integrates deep learning and deep reinforcement learning;To generate robust trading signals by first processing stock price time series into images (using Gramian Angular Field techniques) and stacking decisions from hundreds of CNNs; To use a reinforcement learning meta-learner (based on deep Q-learning with target and dueling networks) that fuses these CNN outputs into trading decisions; To further ensemble decisions through a majority voting mechanism for enhanced robustness; To validate the proposed approach against baselines and literature competitors in real-world intraday trading scenarios.",Value-based Method,Algorithmic Trading,"The proposed multi-layer and multi-ensemble approach outperforms all the considered baselines and literature competitors, including conventional Buy‑and‑Hold.; It achieves a final return improvement of approximately 28.78% over the best non‑RL baseline, with a risk-adjusted return (RoMaD) of 5.70 (i.e., returns are 5.70 times the risk assumed).; The RL-ensemble meta-learner yields robust final decisions by effectively combining the outputs of multiple CNN-based predictors through iterative ensembling.","The method’s complexity and the need for extensive hyperparameter tuning (e.g., optimizer choices, exploration–exploitation balance, activation functions) are acknowledged.; Some configurations (e.g., very high agreement thresholds) can lead to excessively low market participation (coverage), thereby reducing performance.; The authors note potential overfitting issues and suggest that adding recurrent layers (such as LSTMs) might further improve results.",Equity (Stocks); Derivative,3,Real-world Data,Other: Hourly,Time Series,None,,2007,2019,Yes,North America,No,Yes,Different time series,No,No,Yes,Yes,"Max drawdown; Other: Coverage, Precision, Return, Return over maximum drawdown",No,Yes,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
395,Carta 2021,A multi-layer and multi-ensemble stock trader using deep learning and deep reinforcement learning,Consensus,Carta 2021a,A multi‑layer and multi‑ensemble stock trader using deep learning and deep reinforcement learning,Computer Science,Primary,"To design a multi-layer, multi-ensemble stock trader that integrates deep learning and deep reinforcement learning;To generate robust trading signals by first processing stock price time series into images (using Gramian Angular Field techniques) and stacking decisions from hundreds of CNNs; To use a reinforcement learning meta-learner (based on deep Q-learning with target and dueling networks) that fuses these CNN outputs into trading decisions; To further ensemble decisions through a majority voting mechanism for enhanced robustness; To validate the proposed approach against baselines and literature competitors in real-world intraday trading scenarios.",Value-based Method,Algorithmic Trading,"The proposed multi-layer and multi-ensemble approach outperforms all the considered baselines and literature competitors, including conventional Buy‑and‑Hold.; It achieves a final return improvement of approximately 28.78% over the best non‑RL baseline, with a risk-adjusted return (RoMaD) of 5.70 (i.e., returns are 5.70 times the risk assumed).; The RL-ensemble meta-learner yields robust final decisions by effectively combining the outputs of multiple CNN-based predictors through iterative ensembling.","The method’s complexity and the need for extensive hyperparameter tuning (e.g., optimizer choices, exploration–exploitation balance, activation functions) are acknowledged.; Some configurations (e.g., very high agreement thresholds) can lead to excessively low market participation (coverage), thereby reducing performance.; The authors note potential overfitting issues and suggest that adding recurrent layers (such as LSTMs) might further improve results.",Equity (Stocks); Derivative,3,Real-world Data,Other: Hourly,Time Series,None,,2007,2019,Yes,North America,No,Yes,Different time series,No,No,Yes,Yes,"Max drawdown; Other: Coverage, Precision, Return, Return over maximum drawdown",No,Yes,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
359,Dai 2023,Learning equilibrium mean-variance strategy,Mathis Jander,Dai2023,Learning equilibrium mean-variance strategy,"Business, Management and Accounting; Economics, Econometrics and Finance; Mathematics; Social Sciences",Primary,The study develops a reinforcement learning (RL) framework for dynamic mean-variance portfolio optimization by introducing an entropy regularizer to induce exploration.,Value-based Method,Portfolio Management,"Extension of exploratory stochastic control framework to an incomplete market.
Obtain a semi-analytical solution for the equilibrium log-MV problem under the exploratory framework in the incomplete market.
First to study policy in time-inconsistent problems in terms of RL.","Dynamic programming principle fails for with an equilibrium policy.
Can not handle some time-inconsistent risk-aware objectives.",Other: Simulated Time Series,1,Synthetic Data,Other: n.a.,Time Series,None,,-,-,No,,Yes,Yes,None,No,No,Yes,No,Other: Expected Return,No,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
359,Dai 2023,Learning equilibrium mean-variance strategy,Consensus,Dai2023,Learning equilibrium mean-variance strategy,"Business, Management and Accounting; Economics, Econometrics and Finance; Mathematics; Social Sciences",Primary,The study develops a reinforcement learning (RL) framework for dynamic mean-variance portfolio optimization by introducing an entropy regularizer to induce exploration.,Value-based Method,Portfolio Management,"Extension of exploratory stochastic control framework to an incomplete market.
Obtain a semi-analytical solution for the equilibrium log-MV problem under the exploratory framework in the incomplete market.
First to study policy in time-inconsistent problems in terms of RL.","Dynamic programming principle fails for with an equilibrium policy.
Can not handle some time-inconsistent risk-aware objectives.",Other: Simulated Time Series,1,Synthetic Data,Other: n.a.,Time Series,None,,-,-,No,,Yes,Yes,None,No,No,Yes,No,Other: Expected Return,No,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
353,Huang 2023,DADE-DQN: Dual Action and Dual Environment Deep Q-Network for Enhancing Stock Trading Strategy,Mathis Jander,Huang2023,DADE-DQN: Dual Action and Dual Environment Deep Q-Network for Enhancing Stock Trading Strategy,"Computer Science, Engineering, Mathematics",Primary,"Develop DADE-DQN, an enhanced Deep Q-Network (DQN) model for stock trading.",Value-based Method,Algorithmic Trading,"Proposed novel DRL model.
Optimized utilization of storage transitions.
Introduced novel architecture combining LSTMs and attention mechanisms.
Proposed innovative feature selection method.
Demonstrated excellent performance on benchmark.",none,Equity (Stocks),6,Real-world Data,Daily,Time Series,None,,01.01.2007,31.12.2022,No,Asia; Europe; North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Cumulative return, Annualized return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
353,Huang 2023,DADE-DQN: Dual Action and Dual Environment Deep Q-Network for Enhancing Stock Trading Strategy,Consensus,Huang2023,DADE-DQN: Dual Action and Dual Environment Deep Q-Network for Enhancing Stock Trading Strategy,"Computer Science, Engineering, Mathematics",Primary,"Develop DADE-DQN, an enhanced Deep Q-Network (DQN) model for stock trading.",Value-based Method,Algorithmic Trading,"Proposed novel DRL model.
Optimized utilization of storage transitions.
Introduced novel architecture combining LSTMs and attention mechanisms.
Proposed innovative feature selection method.
Demonstrated excellent performance on benchmark.",none,Equity (Stocks),6,Real-world Data,Daily,Time Series,None,,01.01.2007,31.12.2022,No,Asia; Europe; North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Cumulative return, Annualized return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
340,Guarino 2022,"To learn or not to learn? Evaluating autonomous, adaptive, automated traders in cryptocurrencies financial bubbles",Mathis Jander,Guarino2022,"To learn or not to learn? Evaluating autonomous, adaptive, automated traders in cryptocurrencies financial bubbles",Computer Science,Primary,To analyze how different autonomous trading agents (Zero/Minimal Intelligence and Computational Intelligence-based) behave during cryptocurrency financial bubbles.,Actor-Critic Method,Algorithmic Trading,"Zero/Minimal Intelligence (ZI/MI) agents were more explainable, particularly for identifying bubbles based on volatility.
Computational Intelligence (CI) agents, including RL-based methods, performed better during the investment phase but were less explainable.
GGSMZ, a neuro-fuzzy trading agent, outperformed all other tested agents and is proposed as a decision-support tool for investors​","No hyperparameter tuning done.
Limited to Bitcoin and Ethereum.
",Crypto,2,Real-world Data,Daily,Time Series,,,01.01.2015,31.12.2021,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,No,No,No,No,"Sharpe ratio; Max drawdown; Other: Return in %, Sortino ratio, Omega ratio, Volatility in %",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
340,Guarino 2022,"To learn or not to learn? Evaluating autonomous, adaptive, automated traders in cryptocurrencies financial bubbles",Consensus,Guarino2022,"To learn or not to learn? Evaluating autonomous, adaptive, automated traders in cryptocurrencies financial bubbles",Computer Science,Primary,To analyze how different autonomous trading agents (Zero/Minimal Intelligence and Computational Intelligence-based) behave during cryptocurrency financial bubbles.,Actor-Critic Method,Algorithmic Trading,"Zero/Minimal Intelligence (ZI/MI) agents were more explainable, particularly for identifying bubbles based on volatility.
Computational Intelligence (CI) agents, including RL-based methods, performed better during the investment phase but were less explainable.
GGSMZ, a neuro-fuzzy trading agent, outperformed all other tested agents and is proposed as a decision-support tool for investors​","No hyperparameter tuning done.
Limited to Bitcoin and Ethereum.
",Crypto,2,Real-world Data,Daily,Time Series,None,,01.01.2015,31.12.2021,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,No,No,No,No,"Sharpe ratio; Max drawdown; Other: Return in %, Sortino ratio, Omega ratio, Volatility in %",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
326,Kalina 2024,Enhancing Portfolio Performance through Financial Time-Series Decomposition-Based Variational Encoder-Decoder Data Augmentation,Mathis Jander,Kalina2024,Enhancing Portfolio Performance through Financial Time-Series Decomposition-Based Variational Encoder-Decoder Data Augmentation,"Chemistry, Computer Science, Mathematics, Physics and Astronomy",Primary,Propose financial time-series decomposition-based variational encoder-decoder (FED) data augmentation to overcome uncertainty deficiency and insufficient training data.,Actor-Critic Method,Portfolio Management,"Introduced financial time series augmentation.
Proposed diversification approach to enhance the efficiency of RL algorithms.",none,Equity (Stocks); Other: Bond Funds,6,Real-world Data,Daily,Time Series,None,,01.01.2010,31.12.2022,No,Asia; Europe; North America,No,Yes,Different time series,No,Yes,Yes,No,"Sharpe ratio; Max drawdown; Other: Expected portfolio return, Standard deviation of portfolio returns",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,Yes,Yes,No
326,Kalina 2024,Enhancing Portfolio Performance through Financial Time-Series Decomposition-Based Variational Encoder-Decoder Data Augmentation,Consensus,Kalina2024,Enhancing Portfolio Performance through Financial Time-Series Decomposition-Based Variational Encoder-Decoder Data Augmentation,"Chemistry, Computer Science, Mathematics, Physics and Astronomy",Primary,Propose financial time-series decomposition-based variational encoder-decoder (FED) data augmentation to overcome uncertainty deficiency and insufficient training data.,Actor-Critic Method,Portfolio Management,"Introduced financial time series augmentation.
Proposed diversification approach to enhance the efficiency of RL algorithms.",none,Equity (Stocks); Other: Bond Funds,6,Real-world Data,Daily,Time Series,None,,01.01.2010,31.12.2022,No,Asia; Europe; North America,No,Yes,Different time series,No,Yes,Yes,No,"Sharpe ratio; Max drawdown; Other: Expected portfolio return, Standard deviation of portfolio returns",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,Yes,Yes,No
313,Anuradha 2021,Big data based stock trend prediction using deep CNN with reinforcement-LSTM model,Mathis Jander,Anuradha 2021,Big data based stock trend prediction using deep CNN with reinforcement-LSTM model,"Business Management and Accounting, Engineering",Primary,Develop effective stock price prediction based on big data,Value-based Method,Other: Stock Price Prediction,Proposed model outperforms benchmark models,none,Equity (Stocks),4,Real-world Data,Daily,Time Series,None,,01.01.2000,31.12.2019,No,Asia; Europe; North America,No,No,Different time series,No,No,,,"Other: MAPE, Average relative variance",No,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
313,Anuradha 2021,Big data based stock trend prediction using deep CNN with reinforcement-LSTM model,Consensus,Anuradha 2021,Big data based stock trend prediction using deep CNN with reinforcement-LSTM model,"Business Management and Accounting, Engineering",Primary,Develop effective stock price prediction based on big data,Value-based Method,Other: Stock Price Prediction,Proposed model outperforms benchmark models,none,Equity (Stocks),4,Real-world Data,Daily,Time Series,None,,01.01.2000,31.12.2019,No,Asia; Europe; North America,No,No,Different time series,No,No,Yes,Yes,"Other: MAPE, Average relative variance",No,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
306,Harnpadungkij 2022,Risk-Sensitive Portfolio Management by Using C51 Algorithm,Mathis Jander,Harnpadungkij2022,Risk-Sensitive Portfolio Management by Using C51 Algorithm,"Biochemistry, Genetics and Molecular Biology; Chemistry; Material Science; Mathematics; Physics and Astronomy",Primary,To develop a risk-sensitive reinforcement learning (RL) trading strategy using the C51 algorithm.,Value-based Method,Portfolio Management,"First paper to investigate distributional RL in a financial application.
Conducts experiment to establish best training approach for distributional RL trading agents.",Study is limited to a two-stock portfolio.,Equity (Stocks),20,Real-world Data,Daily,Time Series,Market Data,,01.01.2000,31.03.2020,No,North America,No,Yes,None,No,No,Yes,No,Sharpe ratio; PnL; Max drawdown,Yes,No,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
