Title,Ref,Search,ML Technique(s),XAI Technique(s),Field,Novelty / Application,Limitations (if mentioned),Future Directions (if any),Year
Kolmogorov-Arnold Networks for Time Series: Bridging Predictive Power and Interpretability,\cite{xu_kolmogorov-arnold_2024},All Fields,"Multi-Layer Perceptron (MLP), Recurrent Neural Network (RNN), Long Short-Term Memory (LSTM), Kolmogorov-Arnold Networks (KAN): Time Series Kolmogorov-Arnold Networks (T-KAN), Multivariate Time Series Kolmogorov-Arnold Networks (MT-KAN)",,Artificial Intelligence,Novelty,The implementation of KAN is typically 10 times slower to train compared to MLPs with the same number of parameters,,2024
DCEnt‐PredictiveNet: A novel explainable hybrid model for time series forecasting,\cite{sudarshan_dcentpredictivenet_2024},All Fields,"Convolutional Neural Network (CNN), Support Vector Regression (SVR)","LIME, SHAP","Medicine, Finance, Traffic Flow",Novelty,,,2024
Research on the abnormal identification method of remote real-time monitoring of power system equipment based on artificial intelligence,\cite{liu_research_2024},All Fields,"Long Short-Term Memory (LSTM), Convolutional Neural Network (CNN)","SHAP, Partial Dependence Plot (PDP), Feature Importance: Dynamic Feature Importance",Power Electronics,Application \,Novelty,Reliance on historical training data may limit the model's effectiveness in detecting entirely novel types of anomalies,2024
Prediction of Inland Excess Water Inundations Using Machine Learning Algorithms,\cite{kajari_prediction_2024},All Fields,"Extreme Gradient Boosting (XGBoost), Convolutional Neural Network (CNN)",SHAP,Environmental Science,Application,No sensitivity analysis conducted,Adding a sensitivity analysis which could provide additional insights into the role of the input features,2024
Decomposition aided attention-based recurrent neural networks for multistep ahead time-series forecasting of renewable power generation,\cite{damasevicius_decomposition_2024},All Fields,Recurrent Neural Network (RNN): Attention-Based Recurrent Neural Network (RNN-ATT),SHAP,Power Electronics,Application,Other interpretation methods exist,Mentioning of n-Shapley values,2024
SPINEX-TimeSeries: Similarity-based predictions with explainable neighbors exploration for time series and forecasting problems,\cite{naser_spinex-timeseries_2025},All Fields,Similarity-based Predictions with Explainable Neighbors Exploration (SPINEX),Similarity-based Predictions with Explainable Neighbors Exploration (SPINEX),Varying fields (49 datasets),Novelty,,"Algorithm can be extended to handle multivariate time series, broadening use cases",2025
The privacy-explainability trade-off: unraveling the impacts of differential privacy and federated learning on attribution methods,\cite{saifullah_privacy-explainability_2024},All Fields,"Differential Privacy (DP), Federated Learning (FedAVG), Differential Private Federated Learning (FedAVG-DP)","Area Over the Perturbation Curve (AOPC), Ground Truth Concordance (GTC)",Artificial Intelligence,Application,"AOPC, Sensitivity, and Infidelity introduce out-of-distribution samples through the perturbation of samples. GTC assumes that, for each sample, there is exclusively one single decision path, and therefore a ground truth explanation",The field would benefit from a more profound analysis of the effect of privacy on the interpretation by human users through application-grounded and human-grounded evaluation methods,2024
Translating Image XAI to Multivariate Time Series,\cite{tronchin_translating_2024},All Fields,Convolutional Neural Network (CNN),"Gradient-weighted Class Activation Mapping (Grad-CAM), Integrated Gradients (IG), LIME",Telematics,Application,Saliency maps provided by all the XAI methods can be hard to interpret depending on the skills of the specific end-users,"Study XAI methods able to provide a more human-interpretable representation. Focus on developing a XAI method able to explain both signals available in the telematics data at hand (i.e., acceleration and speed), fully exploiting the multimodal nature of the task at hand",2024
A novel fusion-based deep learning approach with PSO and explainable AI for batteries State of Charge estimation in Electric Vehicles,\cite{jafari_novel_2024},All Fields,"Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM), Convolutional LSTM (ConvLSTM)",SHAP,Electric Vehicles,Application,,Explore more sophisticated XAI techniques to understand the model’s decision-making mechanisms better,2024
Time-Series Explanatory Fault Prediction Framework for Marine Main Engine Using Explainable Artificial Intelligence,\cite{je-gal_time-series_2024},All Fields,"Long Short-Term Memory (LSTM), Multi-Layer Perceptron (MLP)",SHAP,Ship Engines,Novelty,,,2024
Two-pathway spatiotemporal representation learning for extreme water temperature prediction,\cite{kim_two-pathway_2024},All Fields,"Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM), Transformer: Vision Transformer (ViT)",Attention Map,Environmental Science,Novelty,,,2024
A novel hybrid ViT-LSTM model with explainable AI for brain stroke detection and classification in CT images: A case study of Rajshahi region,\cite{hossain_novel_2025},All Fields,"Long Short-Term Memory (LSTM), Transformer: Vision Transformer (ViT)","Attention Map, SHAP, LIME",Medicine,Application,Training duration for proposed model is notably extended,,2025
Explainable anomaly detection in spacecraft telemetry,\cite{cuellar_explainable_2024},All Fields,"Short-Time Fourier Transform (STFT), Long Short-Term Memory (LSTM)",LIME,Telematics,Application,,,2024
Decoding micro-electrocorticographic signals by using explainable 3D convolutional neural network to predict finger movements,\cite{kuo_decoding_2024},All Fields,Convolutional Neural Network (3D-CNN),"Saliency, Gradient-weighted Class Activation Mapping (Grad-CAM), SHAP",Neuroscience,Application,,,2024
Improving predictive maintenance: Evaluating the impact of preprocessing and model complexity on the effectiveness of eXplainable Artificial Intelligence methods,\cite{ndao_improving_2025},All Fields,Long Short-Term Memory (LSTM),"LIME, SHAP, Learn to eXplain (L2X)",Predictive Maintenance,Application,"LIME exhibited higher instability, with its explanation quality showing greater sensitivity to preprocessing variations and model depth. L2X, while providing coherent and consistent explanations, struggled with instability and faithfulness, especially as model complexity increased","Incorporate human-grounded evaluations for explanation quality, and develop a unified metric to assess XAI methods comprehensively",2025
An explainable dual-mode convolutional neural network for multivariate time series classification,\cite{cai_explainable_2024},All Fields,Convolutional Neural Network (CNN),Gradient-weighted Class Activation Mapping (Grad-CAM),Varying fields (26 datasets),Application,,An interpretability-based feedback training mechanism that promotes improvements in classification accuracy,2024
A new metric based on association rules to assess feature-attribution explainability techniques for time series forecasting,\cite{troncoso-garcia_new_2025},All Fields,Multi-Layer Perceptron (MLP),"SHAP, LIME, RULEx. Assesses with Rule-based Explanation QUALity (RExQUAL)",Artificial Intelligence,Novelty,"RExQUAL lacks explicit statistical measures for direct comparison with other methods, as such measures have not been established, hindering the ability to assess relative effectiveness of RExQUAL. RULEx and LIME struggle to achieve comparable levels of explanation quality compared to SHAP","Explore the adaptability of the proposed method to other data types, such as categorical data or images",2025
Robust explainer recommendation for time series classification,\cite{nguyen_robust_2024},All Fields,,"SHAP: GradientSHAP, Integrated Gradients (IG), LIME, SHAP: ROCKET-SHAP, SHAP: MrSEQL-SHAP, Multiple Representations Sequence Learning (MrSEQL)",Medicine,Novelty,,Could be adapted to other types of data (such as images) and other machine learning tasks (such as time series regression and clustering),2024
Explainable Self-Supervised Dynamic Neuroimaging Using Time Reversal,\cite{iqbal_explainable_2025},All Fields,"Long Short-Term Memory (LSTM), Gated Recurrent Unit (GRU)",Integrated Gradients (IG),Neuroscience,Application,,,2025
Analyzing the Impact of Environmental Factors on Solar Power Output Using Explainable Deep Learning Techniques,\cite{salman_analyzing_2024},All Fields,"Long Short-Term Memory (LSTM), Convolutional Neural Network (CNN): 1D Convolutional Neural Network (1D-CNN), Combined LSTM-1DCNN",SHAP,Solar Power,Application,,A more in-depth understanding of the contributions and interactions of features would eventually result from improving the interpretability and explainability of model predictions by the application of advanced SHAP analysis or other techniques,2024
Explaining deep multi-class time series classifiers,\cite{doddaiah_explaining_2024},All Fields,"Fully Connected Network (FCN), Recurrent Neural Network (RNN)","Saliency, DEMUX, RISE, LEFTIST (LEFT), LIME, TSMULE, SHAP, SHAP: TimeSHAP, Feature Importance: Meaningful Pertubation (MP), DYNAMASK, PERT",Artificial Intelligence,Novelty,Some other techniques are slightly faster,,2024
Explainable AI for time series via Virtual Inspection Layers,\cite{vielhaben_explainable_2024},All Fields,"Discrete Fourier Transform (DFT), Short-Time Discrete Fourier Transform (STDFT)","Discrete Fourier Transform (DFT), Layer-wise Relevance Propogation (LRP)",,,Novelty,,2024
An explainable deep learning approach for stock market trend prediction,\cite{muhammad_explainable_2024},All Fields,"Random Forest (RF), Support Vector Machine (SVM), Logistic Regression (LR)","SHAP, LIME",Finance,Application,"Furthermore, while SHAP and LIME improve interpretability, there remains a risk of oversimplifying the complex relationships between features in financial markets",Continued refinement of these XAI techniques is necessary to ensure that critical subtleties are not lost in translation. Usage of advanced interpretability methods that account for interactions between features could provide even greater insights into the decision-making processes of deep learning models,2024
Enhancing smart grid load forecasting: An attention-based deep learning model integrated with federated learning and XAI for security and interpretability,\cite{sarker_enhancing_2024},All Fields,Gated Recurrent Unit (GRU): Attention-Based 1D-CNN-GRU,SHAP,Smart Grid Load Forecasting,Application,"The interpretability highlights feature significance in the model prediction; however, exploring interconnected relationships among the features can provide more transparency","This model can be used in several forecasting tasks, including traffic forecasting, stock price forecasting, threat prediction tasks, etc., to assess its robustness broadly. Using Graph Neural Networks for load forecasting can be a promising approach",2024
LogicLSTM: Logically-driven long short-term memory model for fault diagnosis in gearboxes,\cite{hogea_logiclstm_2024},All Fields,"Long Short-Term Memory (LSTM), Logic Tensor Network (LTN)",Counterfactual Explanations,Predictive Maintenance (Gearboxes),Application,,,2024
Explainability of CNN-based Alzheimer’s disease detection from online handwriting,\cite{sweidan_explainability_2024},All Fields,Convolutional Neural Network (CNN),"Counterfactual Explanations, SHAP: DeepSHAP, Two-step temporal saliency rescaling (TSR)",Medicine,Application,"TSR struggles to highlight sudden and sharp changes, emphasizing the limitations of this method in extracting meaningful explanations where subjects fail to sustain a regular rhythm in their movements",,2024
Contextual Background Estimation for Explainable AI in Temperature Prediction,\cite{szostak_contextual_2025},All Fields,,"SHAP: KernelSHAP, SHAP: TimeSHAP",Environmental Science (Weather Prediction),Application,"Many methods struggle to provide meaningful explanations for correlated features. Methods can be computationally expensive, and the approximating white-box models they rely on may sometimes produce misleading results. Of particular interest to this article is the issue of fluctuations in Shapley values. Another significant challenge, especially for regression-based problems, lies in the selection of two important elements of contextualized XAI base value and background",,2025
Interpretable AI analysis of chaos systems distribution in time series data from industrial robotics,\cite{ozkurt_interpretable_2024},All Fields,InterpretML,InterpretML,Robotics,Application,,Future research is expected to use insights from chaos theory to help improve the interpretability of machine learning models and create more robust and effective predictive model,2024
Explainability of Subfield Level Crop Yield  Prediction Using Remote Sensing,\cite{najjar_explainability_2025},All Fields,Long Short-Term Memory (LSTM),"SHAP: GradientSHAP, Input x Gradients (I*G), Integrated Gradients (IG), Shapley Value Sampling (SVS), LIME, SHAP: KernelSHAP",Agriculture (Crop Yield Prediction),Application,,There is a growing trend in utilizing uncertainty estimation to support the explanation of model predictions and errors. Conducting additional experiments can help us further explore this direction,2025
Unveiling psychotic disorder patterns: A deep learning model analysing motor activity time-series data with explainable AI,\cite{mehraj_misgar_unveiling_2024},All Fields,Convolutional Neural Network (CNN),Gradient-weighted Class Activation Mapping (Grad-CAM),Neuroscience,Application,,"Exploring interpretability techniques such as saliency maps and feature importance can provide a better understanding of the model’s decision-making process, which can ultimately lead to more targeted and personalized interventions for individuals",2024
DeExp: Revealing Model Vulnerabilities for Spatio-Temporal Mobile Traffic Forecasting with Explainable AI,\cite{gholian_deexp_2025},All Fields,"Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM)","SHAP, LIME, Gradient-weighted Class Activation Mapping (Grad-CAM), Layer-wise Relevance Propagation (LRP)",Traffic Forecasting,Application,,,2025
Advancing cardiac diagnostics: Exceptional accuracy in abnormal ECG signal classification with cascading deep learning and explainability analysis,\cite{zeng_advancing_2024},All Fields,Cascading Deep Neural Networks (CDNN),"SHAP, Gradient-weighted Class Activation Mapping (Grad-CAM)",Medicine (Cardiac diagnostics),Application,"The interpretability tools employed, such as SHAP values and Grad-CAM, provide valuable insights, but their application to complex models may pose challenges in certain scenarios",Explore advanced explainability methods to enhance the transparency of deep learning models further,2024
Vector SHAP Values for Machine Learning Time Series Forecasting,\cite{eunchoi_vector_2025},All Fields,Long Short-Term Memory (LSTM),SHAP: VectorSHAP,Artificial Intelligence,Novelty,,,2025
Using explainable AI to investigate electrocardiogram changes during healthy aging-From expert features to raw signals,\cite{ott_using_2024},All Fields,"XResNet50, Extreme Gradient Boosting (XGBoost)","SHAP, XResNet Aggregated Saliency Maps",Medicine,Application,,,2024
Genetic algorithm-based hybrid deep learning model for explainable Alzheimer’s disease prediction using temporal multimodal cognitive data,\cite{saleh_genetic_2024},All Fields,"Long Short-Term Memory (LSTM), Gated Recurrent Unit (GRU), Convolutional Neural Network (CNN), Convolutional Neural Network + Long Short-Term Memory (CNN-LSTM), Convolutional Neural Network + Gated Recurrent Unit (CNN-GRU), Random Forest (RF), K-Nearest Neighbor (KNN), Support Vector Machine (SVM), Decision Tree (DT), Logistic Regression (LR), Extreme Gradient Boosting (XGBoost), LightGBM (LGB), Naive Bayes (NB)","SHAP, LIME",Neuroscience (Alzheimer prediction on temporal multimodal data),Application,,Explore other XAI techniques like case-based reasoning and visualization techniques,2024
A novel Fault Diagnosis Approach (FDA) for electric drives using optimized outlier detection model and long short-term memory networks,\cite{rabie_novel_2025},All Fields,Long Short-Term Memory (LSTM),SHAP,Electric Vehicles,Application,,"Integrating advanced explainable AI techniques, such as SHAP and LIME",2025
An end-to-end machine learning approach with explanation for time series with varying lengths,\cite{schneider_end--end_2024},All Fields,Convolutional Neural Network (CNN): 1D Convolutional Neural Network (CNN),Class Activation Mapping (CAM),Quality Prediction,Novelty,There are results from CAM that are not easy to understand even for experienced moulders,,2024
A simple but tough-to-beat baseline for fMRI time-series classification,\cite{popov_simple_2024},All Fields,"meanMLP, Long Short-Term Memory (LSTM), Mutual Information Local to Context (MILC), Directed Instantaneous Connectivity Estimator (DICE), SwiFT, BrainNetCNN, Functional Brain Network Generation (FBNetGen), Logistic Regression (LR), Transformer: BOLD Transformer (BolT), Brain Network Transformer (BNT)",Integrated Gradients (IG),Neuroscience,Application,,,2024
Explainable deep learning model for stock price forecasting using textual analysis,\cite{abdullah_explainable_2024},Financial,"Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM), Multi-Layer Perceptron (MLP), AutoRegressive Integrated Moving Average with eXogenous inputs (ARIMAX), Support Vector Regression (SVR)",SHAP,Medicine,Application,,,2024
A Survey of Explainable Artificial Intelligence (XAI) in Financial Time Series Forecasting,\cite{arsenault_survey_2024},Financial,,"Feature Importance: Feature Permutation, SHAP, LIME, DeepVIX, DeepClue",Finance,,,,2024
Supporting High-Uncertainty Decisions through AI and Logic-Style Explanations,\cite{cau_supporting_2023},Financial,Random Forest (RF),"Model Agnostic Confidence Estimator (MACEst), SHAP",Finance,Application,Different usage of XAI techniques could lead to different results,More study is required to find more generalization possibilities,2023
High-Frequency Direction Forecasting of the Futures Market Using a Machine-Learning-Based Method,\cite{deng_high-frequency_2022},Financial,"Extreme Gradient Boosting (XGBoost), Synthetic Minority Oversampling Technique (SMOTE), Non-dominated Sorting Genetic Algorithm-II (NSGA-II), Random Forest (RF), Support Vector Machine (SVM), Artificial Neural Network (ANN)",LIME,Finance,Application,,,2022
Investigating Explainability Methods in Recurrent Neural Network Architectures for Financial Time Series Data,\cite{freeborough_investigating_2022},Financial,"Recurrent Neural Network (RNN), Long Short-Term Memory (LSTM), Gated Recurrent Unit (GRU)","Feature Importance: Feature Ablation, Integrated Gradients (IG), Feature Importance: Permutation Importance",Finance,Application,"Methods applied here were not tested on a comprehensive set of architectures, opting for the three standard RNN models instead. The performance of these methods may not apply to all deep learning strategies, as it relies on visualisation to derive meaning. A further limitation is that the methods may not be a suitable fit for CNNs, which are on occasion employed in the finance sector. Furthermore, whilst the different error metrics provided an understanding for different aspects of the network, they may not prove intuitive to the average person seeking to benefit from explainable AI",Studies should expand to see if employed methods apply in deep forecasting strategies and other popular architectures such as CNN. A further recommendation is the development of less abstract metrics to impart more practical information regarding model mechanisms,2022
Explainable Artificial Intelligence methods for financial time series,\cite{giudici_explainable_2024},Financial,"Long Short-Term Memory (LSTM), Gated Recurrent Unit (GRU)",Shapley-Lorenz,Finance,Application,,"Future research should include the extension of what proposed and, in particular, of the normalised S.A.F.E. metrics, including Shapley–Lorenz values, to Generative AI models, which extend (forward) recurrent networks with (forward–backward) attention mechanisms",2024
Deep Learning in Finance: A Survey of Applications and Techniques,\cite{mienye_deep_2024},Financial,"Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM), Deep Belief Network (DBN), Transformer, Generative Adversarial Network (GAN), Deep Reinforcement Learning (DeepRL)","SHAP, LIME",,Application,"The complexity of models still limits their deployment in high-stakes financial applications. There is a growing risk that automated decision-making systems could perpetuate or even exacerbate existing societal inequalities, especially when they are trained on biased or incomplete datasets","As models evolve and become more complex, there is a growing recognition that fairness cannot be fully achieved through technical fixes alone. Continuous monitoring, auditing, and collaboration between AI developers, financial institutions, and regulators are essential to ensuring that AI-driven financial systems remain fair and equitable, and that they promote inclusivity in financial services",2024
A profitable trading algorithm for cryptocurrencies using a Neural Network model,\cite{parente_profitable_2024},Financial,Multi-Layer Perceptron (MLP),SHAP,Finance,Application,,"It is worthwhile to subject the trading system to empirical testing across diverse financial markets, including FOREX, individual stocks, stock indexes, commodities, and CFDs (Contracts for Difference). This endeavor is based on the premise that these markets exhibit congruence in terms of adhering to similar technical patterns",2024
Stock market forecasting using a multi-task approach integrating long short-term memory and the random forest framework,\cite{park_stock_2022},Financial,"Long Short-Term Memory (LSTM), Random Forest (RF), LSTM-Forest",Feature Importance,Finance,Application,"Model is explainable because it uses the variable importance analysis of RF, although the DL model is typically a black box model",,2022
Evaluating Transparency: A Cross-Model Exploration of Explainable AI in Financial Forecasting,\cite{valensky_evaluating_2023},Financial,"Long Short-Term Memory (LSTM), Convolutional Neural Network (CNN), Decision Tree (DT)","SHAP, LIME, Feature Importance: Permutation Importance",Finance,Application,"The LSTM and CNN models used were relatively simple to enhance transparency, but this may limit forecasting performance. Moreover, LIME and SHAP treat time series as tabular data, ignoring temporal dependencies crucial in financial time series, potentially missing key sequential patterns",Adapt XAI methods to deep learning models that forecast using both technical and textual data. Explore how to adapt XAI techniques to account for temporal relationships and sequential patterns more effectively,2023
"Applications of Explainable Artificial Intelligence in Finance—a systematic review of Finance, Information Systems, and Computer Science literature",\cite{weber_applications_2024},Financial,,,,,,,2024
FinVision: A Multi-Agent Framework for Stock Market Prediction,\cite{fatemi_finvision_2024},Financial,Large Language Model (LLM),Chain of Thought (CoT),Financial Market,Application,,Improve the framework’s adaptability to rapidly changing market conditions,2024
TimeTrail: Unveiling Financial Fraud Patterns through Temporal Correlation Analysis,\cite{ghimire_timetrail_2023},Financial,Extreme Gradient Boosting (XGBoost),Temporal Correlation Analysis (TimeTrail Technique),Finance,Novelty,,,2023
Opening the Black Box of Financial AI with CLEAR-Trade: A CLass-Enhanced Attentive Response Approach for Explaining and Visualizing Deep Learning-Driven Stock Market Prediction,\cite{kumar_opening_2017},Financial,Convolutional Neural Network (CNN),CLEAR-Trade,Finance,Novelty,,,2017
Exploring Graph Neural Networks for Stock Market Predictions with Rolling Window Analysis,\cite{matsunaga_exploring_2019},Financial,"Long Short-Term Memory (LSTM), Graph Neural Network (GNN)",Knowledge Graph,Finance,Application,,The intuitive nature of knowledge graph data holds interesting opportunities in terms of explainability of stock predictions,2019
A Hypothesis on Good Practices for AI-based Systems for Financial Time Series Forecasting: Towards Domain-Driven XAI Methods,\cite{misheva_hypothesis_2023},Financial,,"SHAP, LIME",Finance,,"While LIME and SHAP have made significant contributions, they also have limitations, including computational complexity, inherent model bias, sensitivity to data sampling, and challenges in dealing with feature dependence. Studies have repeatedly found that explanations generated by attribution-based methods are not stable","Importance on data quality, matching explainability methods with the specific audience, consideration of data properties and feature dependence, stability of explanations",2023
How to Identify Investor's types in real financial markets by means of agent based simulation,\cite{neri_how_2020},Financial,L-FABS,,Artificial Intelligence,Application,Getting stuck on local maxima when using a simple hill climbing method,"The use of simple behavioral models, such as those found by L-FABS, can allow for a better understanding of the underlying and usually hidden mechanism",2020
Making Good on LSTMs' Unfulfilled Promise,\cite{philps_making_2019},Financial,"Long Short-Term Memory (LSTM), Continual Learning (CL), Feed-Forward Neural Network (FFNN)",Interpretable Memory,Finance,Application,,Time-series CL not only outperforms LSTM and FFNN base learners but can provide a transparent explanation for which memory did what and when,2019
