term,mean_tfidf_green,mean_tfidf_non_green,diff_green_minus_non,ratio_green_over_non,doc_freq
haven,0.004640027765564548,0.0,0.004640027765564548,4640027766.5645485,3
boost,0.005127750212920444,0.0005442336349765696,0.004583516577943874,9.421964896967898,5
packaging,0.0045561942103565485,0.0,0.0045561942103565485,4556194211.356549,4
hemp,0.005397955671111754,0.000842797089441998,0.004555158581669756,6.404810521214354,6
blend,0.00745486367830123,0.002927915169938714,0.004526948508362516,2.5461337655186025,14
spf,0.00618990462946125,0.0016828264752171739,0.004507078154244076,3.678278609197746,6
botanicals fresh,0.004478315278984981,0.0,0.004478315278984981,4478315279.984982,3
fresh care,0.004478315278984981,0.0,0.004478315278984981,4478315279.984982,3
cocoa butter,0.0044736104852733174,0.0,0.0044736104852733174,4473610486.273318,4
cbd,0.005253773499524162,0.0008664952142558976,0.004387278285268264,6.063245829894851,5
primer,0.004359245765280244,0.0,0.004359245765280244,4359245766.280245,3
plants,0.004351353848819599,0.0,0.004351353848819599,4351353849.8196,4
natural charcoal,0.0043307465226342726,0.0,0.0043307465226342726,4330746523.634274,4
extract,0.0072203201903634825,0.0029223101205259443,0.004298010069837538,2.4707576852224173,13
cool,0.005557897282149449,0.0012605381740503434,0.004297359108099105,4.409146341742072,6
refrigerator,0.004251731831899405,0.0,0.004251731831899405,4251731832.8994055,2
partnership,0.005253970163301435,0.001011848494230336,0.004242121669071099,5.192447475158253,6
canongoesgreen,0.004211937000572371,0.0,0.004211937000572371,4211937001.5723715,2
dyk,0.004211937000572371,0.0,0.004211937000572371,4211937001.5723715,2
routine,0.007386383306677804,0.0032529503540273427,0.004133432952650461,2.2706720058799417,13
instantly,0.004128884986982603,0.0,0.004128884986982603,4128884987.982603,3
science,0.004106011037797133,0.0,0.004106011037797133,4106011038.7971334,3
sdgs,0.00405266214165904,0.0,0.00405266214165904,4052662142.6590405,3
committed,0.004795375287219431,0.0007512441253333666,0.004044131161886064,6.3832449667519535,5
forward,0.004039280036171334,0.0,0.004039280036171334,4039280037.1713347,4
renewable,0.004014558227854086,0.0,0.004014558227854086,4014558228.8540864,3
emissions,0.003975517164041543,0.0,0.003975517164041543,3975517165.0415435,3
special,0.003967088901076744,0.0,0.003967088901076744,3967088902.0767446,3
protect,0.0053260215679850455,0.0013988077644755007,0.003927213803509545,3.807543609950261,9
love url,0.003927155757600082,0.0,0.003927155757600082,3927155758.600083,3
pixibeauty skintreats,0.003914456058983053,0.0,0.003914456058983053,3914456059.9830537,4
skintreats,0.003914456058983053,0.0,0.003914456058983053,3914456059.9830537,4
skintreats url,0.003914456058983053,0.0,0.003914456058983053,3914456059.9830537,4
nourishes,0.003906935446253376,0.0,0.003906935446253376,3906935447.253376,4
use,0.010764384431460142,0.0068601539736508526,0.0039042304578092895,1.5691170303517852,25
bio hydria,0.003890807125791469,0.0,0.003890807125791469,3890807126.791469,3
hydria,0.003890807125791469,0.0,0.003890807125791469,3890807126.791469,3
petroleum,0.0038903377575945875,0.0,0.0038903377575945875,3890337758.594588,4
mission,0.003854681321632336,0.0,0.003854681321632336,3854681322.632336,3
herbalessences,0.003843918937847103,0.0,0.003843918937847103,3843918938.847103,4
renew products,0.0038219351712794657,0.0,0.0038219351712794657,3821935172.2794657,4
smoothing,0.0044112930520012385,0.0005900107226505723,0.003821282329350666,7.476631993580139,5
hand,0.005033528803455601,0.0012130119221326436,0.0038205168813229577,4.149611976983991,7
social,0.0037723945585824846,0.0,0.0037723945585824846,3772394559.5824847,3
used,0.00442660778951858,0.0006550162870489938,0.0037715915024695863,6.758011779681851,5
herbal,0.004685610951204898,0.0009335166486433295,0.003752094302561568,5.019311604131687,7
skin love,0.003743854479128482,0.0,0.003743854479128482,3743854480.1284823,3
oils,0.00520769170980834,0.001470931663529555,0.003736760046278785,3.540403566248542,8
tea,0.006780309976560007,0.0030536724518369536,0.0037266375247230537,2.220378931362103,14
wipes,0.004916952976338332,0.0011982825766160528,0.003718670399722279,4.103333445038033,5
putting,0.0037051368687232022,0.0,0.0037051368687232022,3705136869.723202,3
salt,0.003704417886010887,0.0,0.003704417886010887,3704417887.0108867,3
eco,0.0036827486420691075,0.0,0.0036827486420691075,3682748643.0691075,3
rinse,0.003680593606317394,0.0,0.003680593606317394,3680593607.3173943,2
program,0.005156512062315167,0.0014826473323179424,0.0036738647299972248,3.477908702520421,6
shapes,0.0036653706995460034,0.0,0.0036653706995460034,3665370700.5460033,2
includes,0.004383189838558555,0.0007311860779593295,0.0036520037605992255,5.994629774402967,5
butter extracts,0.0036511753474896213,0.0,0.0036511753474896213,3651175348.489621,3
oil cocoa,0.0036511753474896213,0.0,0.0036511753474896213,3651175348.489621,3
promote,0.004131777531717337,0.0004808591765083226,0.003650918355209015,8.592489705878236,4
enriched community,0.0036448909104036193,0.0,0.0036448909104036193,3644890911.4036193,4
acid,0.004212189198506405,0.0005680314125235551,0.0036441577859828494,7.4154159421884405,5
mean,0.0036342533130871305,0.0,0.0036342533130871305,3634253314.0871305,3
pomegranate,0.0036037557409667282,0.0,0.0036037557409667282,3603755741.966728,4
products url,0.0036014580514249104,0.0,0.0036014580514249104,3601458052.4249105,3
nourishing,0.004892736600939116,0.0012915865193958867,0.0036011500815432296,3.788160161689698,7
sustainably,0.003568558216683425,0.0,0.003568558216683425,3568558217.683425,3
real,0.004190338152270276,0.0006227525063528186,0.003567585645917458,6.72873750614424,6
plus,0.00676301635002987,0.003202640359615664,0.0035603759904142057,2.111700219043568,15
toothpaste,0.0035544059208617836,0.0,0.0035544059208617836,3554405921.8617835,3
offer,0.004598180701887934,0.001048578150950915,0.0035496025509370193,4.38515783905364,6
didyouknow,0.0040694326337415215,0.000520851107932323,0.0035485815258091986,7.813044006152409,5
moisture,0.005979406157992306,0.00243148858428537,0.0035479175737069364,2.4591545258233394,11
living,0.003539160969206358,0.0,0.003539160969206358,3539160970.206358,3
earthday url,0.00353103637750169,0.0,0.00353103637750169,3531036378.50169,3
tomorrow,0.005341333942989084,0.0018170000571923754,0.0035243338857967083,2.939644343931864,6
plant based,0.003517021763179487,0.0,0.003517021763179487,3517021764.179487,3
minerals,0.004134510669191231,0.0006379223089002335,0.0034965883602909977,6.481213473844236,5
fair,0.0034882846302114975,0.0,0.0034882846302114975,3488284631.211498,4
fair trade,0.0034882846302114975,0.0,0.0034882846302114975,3488284631.211498,4
botanicals endorsed,0.0034763678500179594,0.0,0.0034763678500179594,3476367851.0179596,4
endorsed,0.0034763678500179594,0.0,0.0034763678500179594,3476367851.0179596,4
endorsed royal,0.0034763678500179594,0.0,0.0034763678500179594,3476367851.0179596,4
real botanicals,0.0034763678500179594,0.0,0.0034763678500179594,3476367851.0179596,4
acids,0.0034426685587412215,0.0,0.0034426685587412215,3442668559.7412214,3
ingredients natural,0.0034403273842217746,0.0,0.0034403273842217746,3440327385.2217746,3
body care,0.003421210065652068,0.0,0.003421210065652068,3421210066.652068,3
cucumbers,0.003407864135521475,0.0,0.003407864135521475,3407864136.5214753,2
seed,0.004250213666793794,0.000863715810265676,0.003386497856528118,4.920847357842849,5
knowbeforeyouthrow,0.0033791656201289538,0.0,0.0033791656201289538,3379165621.128954,2
segregation,0.0033791656201289538,0.0,0.0033791656201289538,3379165621.128954,2
waste segregation,0.0033791656201289538,0.0,0.0033791656201289538,3379165621.128954,2
tell love,0.0033758694420054363,0.0,0.0033758694420054363,3375869443.0054364,3
friendly,0.006488716527039842,0.0031172433122187235,0.003371473214821118,2.0815560019085866,12
formulated,0.004503916643945723,0.0011404032650558095,0.0033635133788899136,3.949407002772745,7
safe,0.006468933571148413,0.0031095755454074365,0.0033593580257409764,2.0803268727856183,11
renewableenergy,0.0033560688605425585,0.0,0.0033560688605425585,3356068861.5425587,2
moisturizing,0.004665467127365067,0.0013334227524881195,0.0033320443748769473,3.498865694439821,6
mineral,0.006174113422194862,0.0028425641932375866,0.003331549228957275,2.172022512529692,11
consumption,0.003325081474025932,0.0,0.003325081474025932,3325081475.025932,2
berry,0.0033022241226908795,0.0,0.0033022241226908795,3302224123.6908793,3
increasing,0.0032934502356317956,0.0,0.0032934502356317956,3293450236.631796,2
including,0.0039308662215012105,0.0006555331941761057,0.003275333027325105,5.996441143526231,5
dry skin,0.0037621059320633284,0.000500581120807906,0.0032615248112554222,7.515477050904461,4
elasticity,0.0032510662628441335,0.0,0.0032510662628441335,3251066263.8441334,3
milk,0.005569842747309565,0.0023214309275898987,0.0032484118197196664,2.39931443994883,9
reducing,0.0032469022347718576,0.0,0.0032469022347718576,3246902235.7718577,2
minerals water,0.0032379488216079436,0.0,0.0032379488216079436,3237948822.6079435,3
non petroleum,0.0032379488216079436,0.0,0.0032379488216079436,3237948822.6079435,3
petroleum minerals,0.0032379488216079436,0.0,0.0032379488216079436,3237948822.6079435,3
plants non,0.0032379488216079436,0.0,0.0032379488216079436,3237948822.6079435,3
comes,0.004717371321020124,0.0014853697460993367,0.0032320015749207876,3.1758902665362028,6
clean green,0.003214091327497833,0.0,0.003214091327497833,3214091328.4978333,2
ways,0.0043749480919545135,0.001181918555006448,0.0031930295369480654,3.7015647742572932,6
earthdayeveryday,0.0031804601116268228,0.0,0.0031804601116268228,3180460112.626823,3
treats,0.0031717581378402637,0.0,0.0031717581378402637,3171758138.840264,3
aveda,0.006400600245698728,0.0032289767003421156,0.0031716235453566125,1.9822379777588162,11
called,0.0031689635999937985,0.0,0.0031689635999937985,3168963600.9937987,2
vitamin,0.004707930501327229,0.0015485343193058151,0.0031593961820214136,3.0402493768413703,6
energy url,0.003154983257562683,0.0,0.003154983257562683,3154983258.562683,2
charcoal deodorants,0.003130136963292876,0.0,0.003130136963292876,3130136964.2928762,3
responsibly sourced,0.003129045149275057,0.0,0.003129045149275057,3129045150.2750573,2
sweat,0.0031289574519142846,0.0,0.0031289574519142846,3128957452.9142847,3
feed,0.0031278456806336074,0.0,0.0031278456806336074,3127845681.6336074,3
renewable energy,0.0031266095109080926,0.0,0.0031266095109080926,3126609511.9080925,2
origin ingredients,0.00312247945394462,0.0,0.00312247945394462,3122479454.9446197,2
ces url,0.003786790232496476,0.0006646264331182289,0.003122163799378247,5.697622061211686,3
plant derived,0.003116682518676276,0.0,0.003116682518676276,3116682519.676276,3
true,0.0031059966346093024,0.0,0.0031059966346093024,3105996635.6093025,2
air breathe,0.003099899067634053,0.0,0.003099899067634053,3099899068.634053,2
unlike,0.0030890949071721184,0.0,0.0030890949071721184,3089094908.1721187,2
animals,0.003085036459939115,0.0,0.003085036459939115,3085036460.939115,3
industry,0.0030786490376708015,0.0,0.0030786490376708015,3078649038.6708016,2
shea,0.003664735870875101,0.0005959962248449005,0.0030687396460302003,6.14892462897709,5
calming,0.0030661571609873805,0.0,0.0030661571609873805,3066157161.9873805,2
essences,0.0030605503141274896,0.0,0.0030605503141274896,3060550315.1274896,3
challenges,0.00305641076062639,0.0,0.00305641076062639,3056410761.62639,2
environmental challenges,0.00305641076062639,0.0,0.00305641076062639,3056410761.62639,2
skin tone,0.00305374156508276,0.0,0.00305374156508276,3053741566.0827603,3
tone,0.00305374156508276,0.0,0.00305374156508276,3053741566.0827603,3
charcoal,0.004080315302134402,0.0010378506183971097,0.0030424646837372924,3.9315053889977625,6
global,0.005892458595845788,0.0028509382174624833,0.003041520378383305,2.066848926674954,10
greenhouse,0.003037037689723909,0.0,0.003037037689723909,3037037690.723909,2
certifications,0.0030275824021807458,0.0,0.0030275824021807458,3027582403.1807456,2
almond,0.003026966964289313,0.0,0.003026966964289313,3026966965.2893133,3
virgin,0.0030182968121755006,0.0,0.0030182968121755006,3018296813.175501,3
formulas,0.004052767571182973,0.0010632316607841188,0.002989535910398854,3.811744625232819,6
mustela,0.003575906977671044,0.000598387187406109,0.002977519790264935,5.975908321493297,4
vitamins,0.0029631107468416572,0.0,0.0029631107468416572,2963110747.841657,3
infused,0.0039622351352158695,0.0010012352856443056,0.002960999849571564,3.957346678716764,6
herbalessences kewgardens,0.0029601072475675277,0.0,0.0029601072475675277,2960107248.567528,3
kewgardens,0.0029601072475675277,0.0,0.0029601072475675277,2960107248.567528,3
delivers,0.002948448607367608,0.0,0.002948448607367608,2948448608.367608,2
away,0.004693244161923339,0.0017498778182730133,0.0029433663436503263,2.6820410609428422,6
solutions,0.00584464765947452,0.002901521166678635,0.0029431264927958847,2.0143391423714947,9
matters url,0.0029388853095786826,0.0,0.0029388853095786826,2938885310.5786824,2
discard,0.0029370219801068418,0.0,0.0029370219801068418,2937021981.106842,2
cold,0.0029366986396301715,0.0,0.0029366986396301715,2936698640.630172,3
climate,0.0029344622858916945,0.0,0.0029344622858916945,2934462286.8916945,2
parabens,0.0029342559821058036,0.0,0.0029342559821058036,2934255983.1058035,3
fresh,0.0062060457457871546,0.0032753723757005153,0.0029306733700866392,1.8947603609696702,10
arbonne bio,0.0029295869650105234,0.0,0.0029295869650105234,2929586966.0105233,3
things,0.0029258851888653977,0.0,0.0029258851888653977,2925885189.865398,3
renew,0.0043860983792487745,0.0014664166478379696,0.0029196817314108047,2.99103149416944,6
argan,0.003646885915890194,0.0007344576948947231,0.002912428220995471,4.965413171207259,4
challenge,0.004263825064999785,0.0013536327699401156,0.0029101922950596692,3.149912707150628,5
based,0.004180893430951847,0.0012720023273060314,0.0029088911036458153,3.286859889257974,6
plastic waste,0.002908336267960259,0.0,0.002908336267960259,2908336268.960259,3
aim,0.0028958166808784915,0.0,0.0028958166808784915,2895816681.8784914,2
nourish,0.0039975513691372574,0.0011109456184361945,0.002886605750701063,3.5983321777406325,6
showing,0.0028865267736427223,0.0,0.0028865267736427223,2886526774.642722,2
user showing,0.0028865267736427223,0.0,0.0028865267736427223,2886526774.642722,2
user monthlydigest,0.0028787551659498973,0.0,0.0028787551659498973,2878755166.9498973,2
uses,0.004951832450323131,0.002075350303158042,0.002876482147165089,2.3860224663768568,7
hydrating,0.003851807493309299,0.000976152400158385,0.0028756550931509136,3.945907923535729,6
care products,0.0028653094741101864,0.0,0.0028653094741101864,2865309475.1101866,3
goddess,0.0028560752171227317,0.0,0.0028560752171227317,2856075218.1227317,3
green goddess,0.0028560752171227317,0.0,0.0028560752171227317,2856075218.1227317,3
ingredients like,0.0028421688754311325,0.0,0.0028421688754311325,2842168876.4311323,3
plantpowerineveryshower,0.0028366486074459605,0.0,0.0028366486074459605,2836648608.4459605,3
plantpowerineveryshower url,0.0028366486074459605,0.0,0.0028366486074459605,2836648608.4459605,3
global sustainability,0.002827672200978808,0.0,0.002827672200978808,2827672201.978808,2
compostable,0.002820808197114855,0.0,0.002820808197114855,2820808198.114855,2
effective natural,0.0028122129891910304,0.0,0.0028122129891910304,2812212990.1910305,2
operations,0.002810760722325633,0.0,0.002810760722325633,2810760723.325633,2
tackle,0.0028033689074768654,0.0,0.0028033689074768654,2803368908.4768653,2
green beauty,0.0028013261134132708,0.0,0.0028013261134132708,2801326114.413271,2
aloe vera,0.002800544357275308,0.0,0.002800544357275308,2800544358.275308,3
vera,0.002800544357275308,0.0,0.002800544357275308,2800544358.275308,3
sharing,0.0037492235550522224,0.000957650100168744,0.0027915734548834784,3.91502444522959,6
introducing new,0.0036218635975295756,0.000840513844824773,0.002781349752704803,4.309106407373386,4
land,0.0035933015881164606,0.0008166631926062304,0.00277663839551023,4.399979841443717,3
blend certified,0.0027637106088758403,0.0,0.0027637106088758403,2763710609.87584,2
certified organic,0.0027637106088758403,0.0,0.0027637106088758403,2763710609.87584,2
leed,0.0027622484941311636,0.0,0.0027622484941311636,2762248495.1311636,2
herbal tea,0.00318316259818705,0.00044127067482539376,0.0027418919233616564,7.213628218627867,4
innovating,0.002736311964832951,0.0,0.002736311964832951,2736311965.832951,2
tasty,0.0027345188801419394,0.0,0.0027345188801419394,2734518881.1419396,2
defend,0.0027293028826718547,0.0,0.0027293028826718547,2729302883.671855,2
defend skin,0.0027293028826718547,0.0,0.0027293028826718547,2729302883.671855,2
davos,0.002726044881560365,0.0,0.002726044881560365,2726044882.560365,2
wef,0.002726044881560365,0.0,0.002726044881560365,2726044882.560365,2
crueltyfree,0.0027246843343962253,0.0,0.0027246843343962253,2724684335.3962255,2
garden,0.0046170847113847025,0.0018924353917284752,0.0027246493196562273,2.4397581709396605,5
hard,0.0042558774224234555,0.0015355931211796636,0.002720284301243792,2.771487682480985,5
instead,0.0027163183196341582,0.0,0.0027163183196341582,2716318320.634158,2
news,0.003412609633235037,0.000702690669376102,0.002709918963858935,4.856489175256164,3
thanks,0.005321942964564159,0.0026228793946402405,0.0026990635699239186,2.029046007380405,9
progress,0.0026888715408936274,0.0,0.0026888715408936274,2688871541.8936276,2
harnessing,0.0026793031011457646,0.0,0.0026793031011457646,2679303102.145765,2
chlorophyll,0.0026781986419548336,0.0,0.0026781986419548336,2678198642.9548335,2
edition,0.005442118350090501,0.0027654518200075063,0.0026766665300829947,1.9678948335855784,11
healthier planet,0.0026739183964049175,0.0,0.0026739183964049175,2673918397.4049177,2
organic coconut,0.0026727983320792878,0.0,0.0026727983320792878,2672798333.079288,3
organic pomegranate,0.0026689116322473633,0.0,0.0026689116322473633,2668911633.2473636,3
using natural,0.0026630637255433943,0.0,0.0026630637255433943,2663063726.543394,2
limited edition,0.004382077222346678,0.0017306366128225412,0.002651440609524137,2.532060854570603,7
downtoearthzacefron,0.0026504740799646095,0.0,0.0026504740799646095,2650474080.9646096,2
netflix,0.0026504740799646095,0.0,0.0026504740799646095,2650474080.9646096,2
proud sponsor,0.0026504740799646095,0.0,0.0026504740799646095,2650474080.9646096,2
sponsor,0.0026504740799646095,0.0,0.0026504740799646095,2650474080.9646096,2
streaming,0.0026504740799646095,0.0,0.0026504740799646095,2650474080.9646096,2
streaming netflix,0.0026504740799646095,0.0,0.0026504740799646095,2650474080.9646096,2
tubes,0.0026484556190213013,0.0,0.0026484556190213013,2648455620.0213013,2
sunscreen,0.004621989972395465,0.0019873428722381858,0.0026346471001572795,2.3257134114277793,6
shares,0.0026297964221267817,0.0,0.0026297964221267817,2629796423.126782,2
antioxidant,0.0025832071404500896,0.0,0.0025832071404500896,2583207141.4500895,2
ingredients products,0.00257189853545835,0.0,0.00257189853545835,2571898536.45835,2
leadership,0.0032450662926321377,0.0006746456871232138,0.0025704206055089237,4.810030436360657,4
changing,0.0034387617120865328,0.0008746958016210959,0.002564065910465437,3.9313801469974,3
turn,0.0033659686434930184,0.0008039605656967528,0.0025620080777962657,4.186733508986435,2
packed natural,0.0025605854797570386,0.0,0.0025605854797570386,2560585480.7570386,2
code,0.004378979405534779,0.0018298723299118953,0.002549107075622884,2.3930518717404548,7
community fair,0.0025491044304075594,0.0,0.0025491044304075594,2549104431.4075594,3
ginger,0.0033241979985940105,0.0007757185663713019,0.0025484794322227088,4.28531446766681,3
dewy,0.0030892865476996167,0.0005436432151565407,0.0025456433325430758,5.6825624911505646,4
rich,0.003931377817028133,0.0013875363920172537,0.0025438414250108796,2.8333511378964227,6
coconutoil,0.0025423627942733765,0.0,0.0025423627942733765,2542362795.2733765,2
coconutoil url,0.0025423627942733765,0.0,0.0025423627942733765,2542362795.2733765,2
smoothing coconut,0.0025423627942733765,0.0,0.0025423627942733765,2542362795.2733765,2
landfills,0.002528290858442646,0.0,0.002528290858442646,2528290859.442646,2
bath time,0.002524987489418484,0.0,0.002524987489418484,2524987490.4184837,2
responsibility,0.00252409052392825,0.0,0.00252409052392825,2524090524.92825,2
box,0.0030374938027818363,0.000515715097427151,0.0025217787053546854,5.889867900020203,4
created,0.002503218502422416,0.0,0.002503218502422416,2503218503.422416,2
earth day,0.002498251509876823,0.0,0.002498251509876823,2498251510.876823,2
natural cruelty,0.0024920887289443397,0.0,0.0024920887289443397,2492088729.9443398,2
cucumber,0.002490188072804571,0.0,0.002490188072804571,2490188073.804571,2
caring,0.002489279634860073,0.0,0.002489279634860073,2489279635.860073,2
