test_index,candidate,pred_label,precision_B,coverage_empirical
115,water,1,0.99,0.025806451612903226
115,nutriplenish,1,0.995,0.0064516129032258064
115,non,1,1.0,0.01935483870967742
115,free,1,0.99,0.05806451612903226
116,planet,1,0.655,0.03870967741935484
122,products,1,0.76,0.09032258064516129
122,natural,1,0.885,0.18064516129032257
122,beauty,1,0.675,0.025806451612903226
124,ingredients,1,0.985,0.05806451612903226
124,sustainable,1,1.0,0.03225806451612903
124,products,1,0.99,0.09032258064516129
124,natural,1,0.99,0.18064516129032257
124,hair,1,0.955,0.10967741935483871
124,naturally,1,0.995,0.05161290322580645
124,planet,1,0.975,0.03870967741935484
124,care,1,0.98,0.04516129032258064
131,derived,1,0.83,0.025806451612903226
131,naturally derived,1,0.96,0.025806451612903226
131,skin,1,0.71,0.16129032258064516
131,naturally,1,0.83,0.05161290322580645
131,water,1,0.7,0.025806451612903226
131,skincare,1,0.755,0.05161290322580645
133,skin,1,0.735,0.16129032258064516
133,plant,1,0.94,0.05161290322580645
133,bio,1,0.765,0.01935483870967742
133,clean,1,0.765,0.01935483870967742
136,products,1,0.875,0.09032258064516129
136,love,1,0.775,0.06451612903225806
136,cruelty,1,0.9,0.01935483870967742
136,cruelty free,1,0.965,0.01935483870967742
136,beauty,1,0.82,0.025806451612903226
136,free,1,0.87,0.05806451612903226
142,botanicals,1,1.0,0.012903225806451613
142,hydration,1,0.985,0.012903225806451613
142,kew,1,0.985,0.012903225806451613
154,organic,1,0.85,0.05161290322580645
154,oil,1,0.59,0.07096774193548387
154,skin,1,0.5,0.16129032258064516
