Code,Description,Budget,Cordis Link,Website
"Resilient Solutions for Coastal, Urban, Estuarine and Riverine Environments","Rising sea levels, amplified by climate change, threaten the very fabric of coastal communities worldwide. As global warming progresses alongside natural risk factors and escalating human activity, traditional protective measures against storm surges prove insufficient. The convergence of these challenges demands a change in thinking in coastal modelling and mitigation strategies. With the support of Marie Skłodowska-Curie Actions, the RESCUER project aims to revolutionise coastal safety by training young researchers in cutting-edge techniques, leveraging multi-physics models, numerical advancements and innovative technologies like graphics processing unit programming. The project’s overall goal is to safeguard coastal, urban, estuarine and riverine environments, offering a beacon of resilience in the face of escalating environmental threats.",2752149.6,https://cordis.europa.eu/project/id/101119437,http://www.uib.no/
Design and Sustainability Assessment of Innovative biomass production systems and value-chains in the Bioeconomy,"Addressing challenges and introducing innovative methodologies are essential for achieving enhanced sustainability and efficient economies. The challenge of transitioning away from fossil resources and embracing energy and social transformations is of utmost importance. However, it is accompanied by a multifaceted issue. The growing demand for biomass throughout the conversion process could potentially lead to adverse environmental impacts and, if not executed correctly, result in increased emissions and waste. In this context, the MSCA-funded DESTINY project will create the requisite tools and methodologies, rendering such challenges more attainable, streamlined, and environmentally sound. It will also provide specialised training to young researchers training for their PhD.",4097440.8,https://cordis.europa.eu/project/id/101119940,https://www.agroparistech.fr/
Green membrane bioseparation for circular economy,"As global demand for biomolecules escalates across industries, including food, pharmaceuticals and cosmetics, traditional production methods struggle to meet sustainability standards. To address this growing need, novel efficient processes are required for the production and purification of biomolecules. With the support of the Marie Skłodowska-Curie Actions (MSCA) programme, the Bio-GENTLE project aims to propel Europe to the forefront of biomolecule research and development. The initiative will train 12 students to find more sustainable ways to process biomolecules. By working together and focusing on eco-friendly practices including membrane separation processes, the project aims to improve the way biomolecules are produced.",2679321.6,https://cordis.europa.eu/project/id/101119963,http://www.utwente.nl/
Smart Mechatronic Ankle-Foot Orthosis Platform for Gait Assistance and Augmentation,"Ankle foot orthoses (AFOs) are commonly used by patients with stroke, cerebral palsy or spinal cord injuries who exhibit neuromuscular and mobility impairments. Over the last few decades, mechatronic AFOs integrating mechanical, electrical and computer engineering have gained interest, yet none are commercially available for clinicians and the public. With the support of the Marie Skłodowska-Curie Actions programme, the SmartANKLE project will create a training network to enable six doctoral candidates to bring a mechatronic AFO to market. With the expertise of internationally recognised universities, a hospital, and industrial partners, the fellows will use a pioneering smart mechatronic AFO platform to assemble smart AFOs that provide positive torque during walking.",1565275.2,https://cordis.europa.eu/project/id/101119433,http://www.ucd.ie/
European Doctoral Network for Neural Prostheses and Brain Research,"Brain-computer interfacing (BCI) provides not only new opportunities to assist paralysed individuals but also an exciting outlook on how humans will interact with technology in the future. Despite successes, paradigms and technology are still being actively developed. This is even more the case when taking BCI technology out of the lab. The MSCA-funded DONUT project seeks to establish a doctoral network (DN) focused on paradigms, neural prostheses and brain research, serving as a catalyst for new researchers and EU partners seeking entry into the BCI domain. Leveraging its collective expertise, the DN aims to train 10 doctoral candidates, enabling them to address the intricate challenges of BCI research. Moreover, the network will foster collaboration and facilitate the maintenance of connections among its members.",2611879.2,https://cordis.europa.eu/project/id/101118964,na
Natural Traces in forensic investigations - how the analysis of non-human evidence can solve crime,"In the world of forensic science, every crime scene tells a unique story, one that often includes the subtle presence of non-human biological traces. Pet hairs, pollen, soil organisms, and environmental DNA are just a few examples of these elusive clues. However, in the EU, the expertise to effectively analyse and utilise these natural traces has been lacking at the postgraduate level. With the support of the Marie Skłodowska-Curie Actions programme, the Natural Traces project will address this gap in forensic science education. It will empower 10 PhD students, providing them with comprehensive training in practical forensics. The training, facilitated by academic, non-academic partners, police academies, and laboratories, will focus on integrating biological evidence into a Bayesian framework.",2489112.0,https://cordis.europa.eu/project/id/101120165,http://www.uni-frankfurt.de/
Digital Finance - Reaching New Frontiers,"A competitive European financial sector is crucial for modernising the European economy across industries and turning Europe into a global digital player. The MSCA-funded DIGITAL project aims to conduct research in five key areas within the domain of digital finance, focusing on creating a European financial data space, using AI in financial markets, developing explainable and fair AI-generated decisions, driving digital innovations with blockchain applications, and ensuring the sustainability of digital finance. The research results will be of interest to three leading European-wide research networks. The consortium comprises eight European universities, four international corporations, two SMEs, three research centres, and the European Central Bank.",3866839.2,https://cordis.europa.eu/project/id/101119635,http://www.utwente.nl/
Interoperability of the Power Electronics dominated grid by openness,"Power electronics (PE) play a crucial role in the transition to power systems incorporating integrated renewable energy. However, achieving interoperability in power electronics faces several challenges, such as a lack of essential technology, intellectual property issues, and regulatory obstacles. The MSCA-funded Inter-oPEn project seeks to address these challenges by establishing an innovative doctoral training programme that encompasses multidisciplinary knowledge. The programme aims to promote openness by exploring current challenges, understanding legal requirements, and investigating power software and hardware needs. By combining legal and engineering skills, the programme will provide researchers with a distinctive approach to addressing these challenges and others in the field.",2673568.8,https://cordis.europa.eu/project/id/101119349,http://www.rwth-aachen.de/
European Glocal Counter-Terrorism,"Terrorism is considered one of the biggest security challenges for the European Union and its Member States. As a result, there is a vital requirement for knowledge and expertise that would enable the EU and its Member States to address the current terrorist threats effectively. The MSCA-funded EU-GLOCTER project aims to tackle terrorism in the EU and its Member States by analysing EU counterterrorism at local, global, and EU levels. Seven beneficiaries and 18 associated partners will collaborate to deliver a world-class PhD programme for 11 doctoral candidates. The programme involves world-leading social scientists from various disciplines, innovative think tanks, and industry partners. EU-GLOCTER promotes scientific excellence and technological innovation in counterterrorism.",2632197.6,https://cordis.europa.eu/project/id/101119985,http://www.dcu.ie/
Smart Integration of Process Systems Engineering & Machine Learning for Improved Process Safety in Process Industries,"In the ever-evolving realm of process industries, the pressing challenge of ensuring safety and sustainability looms large. Current methodologies often fall short in addressing the complexity of risk assessment and process safety, leaving a critical gap in industry practices. With the support of the Marie Skłodowska-Curie Actions programme, the PROSAFE project will develop a doctoral training programme to bridge these gaps. It will harmonise robust risk assessment methods and integrate cutting-edge AI and machine learning models to revolutionise the landscape of process safety in industries. The project’s overall aim is to shape a new era in process safety, fostering skilled professionals and addressing vital societal, economic and environmental concerns.",2773692.0,https://cordis.europa.eu/project/id/101119358,http://www.dtu.dk/
Magnetic ENERGY conversion for waste HEAT,"While solar and wind power are essential in the EU’s decarbonisation goals, they face energy transport and storage challenges. A significant amount of low-grade heat is generated in various industries, which, if converted into electricity, even in small percentages, could make a substantial difference in energy efficiency. However, no efficient technologies are available. The MSCA-funded HEAT4ENERGY project aims to develop thermomagnetic harvesting technology from its current proof-of-principle stage to an efficient and cost-competitive stage. The project brings together a consortium of nine academic institutes and four industrial partners that will address all the major challenges of this emerging technology, including developing tailored thermomagnetic materials.",2659370.4,https://cordis.europa.eu/project/id/101119852,http://www.tudelft.nl/
Higher-Order Networks and Dynamics,"Networks are often seen as combinations of linearly connected pairs of nodes or units. However, most networks, from the brain’s interconnected cells to social networks spreading disease, involve nonlinear higher-order interactions between more than two units. These interactions are essential in modulating the collective dynamical behaviour of all units within a network. With the support of the Marie Skłodowska-Curie Actions programme, the BeyondTheEdge project will establish its own network, integrating multiple disciplines and sectors, to train PhD students in investigating and advancing these topics. Specifically, the training network aims to elucidate the role of non-pairwise higher-order interactions in the emergence of complex dynamical behaviour in networks of interacting units.",2553739.2,https://cordis.europa.eu/project/id/101120085,http://www.vu.nl/
"Tracing the evolution of sensory cell types in animal diversity: multidisciplinary training in 3D cellular reconstruction, multimodal data analysis and science outreach.","Animals possess diverse sensory organs and cell types, enabling them to perceive their environments and thrive in their ecological niches. Accumulating evidence has provided important insight into the development and differentiation of these cells in different animals. Funded by the Marie Skłodowska-Curie Actions programme, the ZooCELL project is interested in the evolution of these cell types across different animal phyla. Through a multidisciplinary and collaborative approach that combines genomics and artificial intelligence, researchers across Europe will analyse molecular and morphological features of sensory cells. The aim is to create a unified understanding of how sensory cells have evolved.",2681769.6,https://cordis.europa.eu/project/id/101119891,http://www.embl.org/
Pathogens of Algae for Biocontrol and Biosecurity,"Some algae, like seaweed, are of great socioeconomic value and others, like cyanobacteria, which form harmful algal blooms, pose a threat to the environment and fish farming. A plethora of microorganisms are harmful to algae. With the support of the Marie Skłodowska-Curie Actions programme, the PHABB project will create a training network for early career researchers whose projects will focus on how algal pathogens work. The researchers will deepen their understanding of biological and evolutionary processes related to microbial community dynamics, virulence and host specificity. This knowledge will be used to either develop strategies to protect seaweeds or to harness the infection tactics to combat harmful algal blooms.",2181988.8,https://cordis.europa.eu/project/id/101120280,http://www.mnhn.fr/
Molecule-based magneto/electro/mechano-Calorics,"MolCal will contribute to establishing a critical mass of researchers in promising exploratory topics on caloric materials and energy conversion technologies for solid-state cooling and heating applications at near-ambient and very-low temperatures. Temperature control systems are responsible for approximately half of the EU energy consumption expenditure. This figure alone amply justifies the need to dedicate great efforts to the search for alternative refrigeration and heat pump methods. Research on caloric materials has never been as active as it is now, due to the prospect of new-generation refrigerators and heat pumps that are energy efficient and environmentally friendly, on the one hand, and the policies on low-energy consumption and global warming refrigerants, on the other. MolCal presents an approach never tried before in similar collaborative research training programmes. We will consider caloric materials that fall under the umbrella of molecule-based materials and can respond to different sources of the driving stimulus, be it magnetic, electric, and/or mechanical. Since there is no clear-cut consensus on which type of caloric material holds the most promise, this multi-front approach will be an advantage because it will permit transfer of methods already developed from the magnetocaloric subfield into the others, which are increasingly in the spotlight because of their enormous potentiality. Furthermore, MolCal will develop devices based on low-cost barocaloric materials and, due to the molecular characteristics, will progress towards challenging applications by exploring the limits of the smallest size of magnetic refrigerators. Academic and non-academic leaders, from top research institutions in Europe and outside, will expose the doctoral researchers to integrative, multidisciplinary, and multisectoral training in chemistry, materials science, physics, device development, and relevant transversal skills.",2038780.8,https://cordis.europa.eu/project/id/101119865,na
Photonic System Engineering with Microcombs,"Optical frequency combs are fascinating photonic devices for realizing modern applications that rely on precision frequency synthesis and metrology. Today, microcombs offer the prospect of attaining, in a single chip-scale form-factor, an optical frequency comb with outstanding performance in terms of line spacing and bandwidth coverage. With microcombs, some proof of principle, lab-based system-level demonstrations have been realized, but these make use of large bulk components and instrumentation that prevent the large-scale deployment of this technology in mass-market applications. The overall ambition of this doctoral network is to provide the scientific and training necessary to bridge the gap between proof-of-principle applications and deployment of this disruptive technology. The network brings together experts from academia and industrial leaders in microresonator frequency combs, heterogeneous integration, packaging technology, and nonlinear physics, while covering a wealth of emerging applications: from quantum information processing to biophotonics. The collaborative science is embedded in a meaningful, comprehensive and tailored-made training program that covers crucial aspects in diversity, digital science, entrepreneurship and innovation. This network will catalyze the career of 12 doctoral candidates who will pave the way for novel scientific endeavors and deploy this technology in mass-market applications, from datacenter interconnects to lidar in self-driving cars.",2788624.8,https://cordis.europa.eu/project/id/101119968,na
Doctoral Training Network for Quantum Enhanced Optical Communication Network Security,"The security of data has never been more valuable. Today, cryptography is critical to the safe operation of digital infrastructures. However, yearly advances in quantum computing present new threats. Quantum Key Distribution (QKD) may provide the best protection, an approach designed to ensure privacy using quantum information encoded on photons. In theory, QKD is proven secure. In practice, QKD systems deviate from this theoretical behaviour due to implementation. Currently, QKD requires a separate dark fibre due to its susceptibility to classical channel effects (e.g. noise, Kerr non-linear interference, and scattering effects). Separating QKD from classical optical signals is costly and impractical, keeping QKD a niche product. Therefore, network providers seek quantum security to coexist in existing classical optical infrastructure. A better understanding of a quantum/classical optical channel is needed to develop improved channel coding, robust error-correcting schemes, digital signal processing, and optoelectronic components for the transceivers. In addition, a study on network topologies and integrating classical to quantum signals on implementation security is needed. The doctoral research network - QuNEST aims to gather diverse industrial and academic partners with strong scientific and technical expertise in QKD technology and optical communications to establish a new, innovative, multi-disciplinary, training network for doctoral researchers (DR). With the high-level objective of training experts to design, develop, and drive the future quantum secure optical infrastructure forward. This doctoral network will train 11 DR fellows, leaning on the expertise of 17 partners: 6 universities, and 11 Industrial partners (i.e. 1 Simulation software provider, 2 Telecom operators, 2 SMEs and 6 hardware vendors). From 7 European countries, QuNEST provides a unique and timely opportunity to train students in quantum physics and optical communications",2661328.8,https://cordis.europa.eu/project/id/101120422,na
Enabling the integration of multi-functional reliable metamaterials in real-life industrial applications for enhancing structural and vibrational behavior,"The European manufacturing industry, especially in high-end tech applications like lithography and micro-electromechanical systems (MEMS), must innovate and explore material properties to maintain a competitive edge. Metamaterials, which are materials designed with specific architectures, hold the potential to surpass traditional materials and transform industrial design practices. However, there is currently a knowledge gap in areas such as design-for-production principles, component and system level integration, and design-for-reliability when it comes to metamaterials. The EU-funded METRAMAT project aims to train 10 researchers in research, design, simulation, manufacturing, testing, reliability assessment and integration tools creation. The goal is to develop engineering tools and educational programmes that will facilitate the design, manufacturing and application of metamaterials in the European industry.",2690215.2,https://cordis.europa.eu/project/id/101119917,http://www.tue.nl/en
"multI-discipliNary, multi-Sectoral and multi-national trainIng network on Digital biomarkErs for supraventricular arrHythmia charactErizAtion and Risk assessmenT","INSIDE-HEART brings together universities, companies and hospitals from countries (Italy, Finland, France, Israel, Netherlands, Spain, and Sweden) with the main scope of establishing a multi-disciplinary network to tackle the design and the early-phase validation of digital biomarkers, specifically targeting the diagnosis of supraventricular arrhythmias (SVAs) and their associated potential for adverse risk assessment, via the joint combination of signal processing, artificial intelligence and non-clinical devices. This will be achieved by performing excellent research through a unique doctoral training “without walls” among field-expert academic, industrial and clinical entities.
The composite nature of the INSIDE-HEART network ensures a highly qualified training and research infrastructure for the specific goal, which aims to generate a new profile of researcher with multi-sectoral expertise able to fill the existing gap, i.e. the absence of digital biomarkers for SVAs reliably estimated with non-clinical devices, taking into account basic research, clinical needs and business interests. Research and training are designed to consider relevant aspects such as public concern of private data management, gender and ethics related to SVAs, all according to Responsible Research & Innovation principles and Open Science practices.
All activities in INSIDE-HEART are designed to pursue innovation in three domains: i) Educational domain – by implementing a new multi-sectoral paradigm of PhD training to shape modern professional researchers with cross-competencies in the field, and able to accelerate the translation from basic science to market and clinics; ii) Basic science domain - by producing new knowledge about digital biomarkers by means of a multi-sectoral approach to explore the complex aspects related to SVAs; and iii) Technological domain – by developing new data-driven and model-based methodologies to compute digital biomarkers and support the clinical decision.",2667693.6,https://cordis.europa.eu/project/id/101119941,na
image-Guided computational and experimental Analysis of fractured Patients,"Age-related bone fractures are a major health concern, resulting worldwide in high economic and psycho-social burden, morbidity and increasing mortality. With aging and in presence of bone pathologies, human bone becomes more brittle and prone to damage. A disruptive clinical hypothesis considers Covid-19 virus as an additional contributing factor in bone deterioration. At the macro-scale, the identification of fragility is assured by the clinical practice: common clinical tools, however, are able to predict only 70% of fractures. For this reason, a deep investigation of the bone micro-architecture would be a fundamental hint for the comprehension of damage mechanisms, improving the reliability of fracture risk indicators and performing more accurate diagnosis of bone pathologies. This knowledge level goes beyond the current state of the art and this is where GAP comes into play, providing attractive, multi-disciplinary and versatile training strategies for multi-scale comprehension, detection and patient-specific treatments of bone fractures. The over-arching aim of GAP proposal is to educate young and talented scientists towards a combined high-level experimental and numerical approach for the early-stage accurate, precise detection and mini-invasive treatments of bone fractures, shedding some light on bone micro-scale alterations due to pathologies. The inter-disciplinary findings, that exploit cutting-edge multi-scale imaging facilities and advanced artificial intelligent-based strategies, will be a crucial aspect in the training of skilled researchers and will enable Europe to overcome the silent paralysis of its healthcare system.",2679933.6,https://cordis.europa.eu/project/id/101120290,na
Photonic and electronic integrated circuits for next-generation LiDAR technologies,"LiDAR – or Light Detection and Ranging – technology is popping up everywhere. Industry experts are predicting an ever-greater enabling role for LiDAR in everything from advanced driving support systems to autonomous driving, to autonomous mobility applications, to gas sensing, etc. The demand for the technology is at an all-time high, and it is expected to experience a steadily accelerating adoption across markets. NiteLiDAR will break new ground in LiDAR technology by allowing higher levels of integration including optical phased array based solid-state beam steering and on-chip frequency-modulated continuous-wave based ranging, thus moving away from mechanical components, which will bring down the cost of LiDAR. To achieve this, NiteLiDAR will leverage on beyond-state-of-the-art knowledge being generated around photonic integrated circuits (PIC) and electronic integrated circuits (EIC), while addressing current gaps, and tackling the paucity of knowledge around the largely underexploited LiDAR-on-a-chip technology. NiteLiDAR, therefore, creates a platform solution vouching for the European leadership in next-generation LiDAR technologies. The mission of NiteLiDAR is to train 10 Doctoral Candidates (DCs) with out-of-the-box thinking and an entrepreneurial mindset in the field of LiDAR technologies as a specific expertise, and photonic and electronic integration (i.e. semiconductor) skills and expertise in a broader perspective, which are KEY for the implementation of the EU Chips Act, and - wider - for the European semiconductor autonomy.",2799028.8,https://cordis.europa.eu/project/id/101120353,na
"Collaborative development and dissemination of workflows and techniques for using Correlative Light, Electron and X-ray Microscopy to progress research into the understanding and treatment of diseases","Disease researchers require a comprehensive understanding of cellular changes spanning from the micro to nano scale. While correlative light and electron microscopy can achieve this, its complexity and slow pace pose challenges. With the support of the Marie Skłodowska-Curie Actions programme, the CLEXM project seeks to disseminate the advantages of incorporating soft X-ray tomography (SXT) alongside other imaging modalities in disease and drug therapy research. It will facilitate the demonstration of the benefits of using SXT in correlation with other imaging techniques, making it accessible and efficient for early-career researchers to rapidly correlate cellular structure with function. The synergy of correlative light, electron, and X-ray microscopy offers numerous benefits.",2480594.4,https://cordis.europa.eu/project/id/101120151,http://www.ucd.ie/
EffIcient Fullerene-Free organic solar cELls,"The accelerated urgency of transitioning away from fossil fuels is driven by climate change, but also by the European energy crisis in
the wake of the COVID-19 pandemic. It reinforces the demand for competitive solar energy conversion technologies. Organic
photovoltaics (OPV), based on non-toxic abundant raw materials offer an inexpensive technology with vast opportunities for largescale
roll-to-roll production that is scalable to the multi-terawatt level. After a decade of R&D, several European companies are
entering the market with OPV products. However, new materials, so-called non-fullerene acceptors (NFAs), have recently been
discovered and have yielded higher power conversion efficiencies. This development occurred mainly in China, so that Europe is at
risk of losing its leading industrial position to the Asia. To reverse this alarming trend, Europe needs to increase its strategic
investments into OPV research. Two key directions of particular importance are: tailored novel NFA materials and NFA-based solar
cells with long operational lifetime.
Our scientific goal within EIFFEL – EffIcient Fullerene-Free organic solar cELs – is to recruit, train and supervise 10 talented Early Stage
Researchers (ESRs) to design and synthesise novel NFAs suitable for both solution and vacuum processing, for the next generation of
efficient and stable OPV. In EIFFEL, the unprecedented combination of targeted simulations, organic synthesis, device
characterisation and engineering based on industrial needs paves the way to products that overcome OPV’s present-day limitations.
EIFFEL’s training programme is uniquely designed to provide the ESRs with multidisciplinary training interlinking chemistry, materials
science, physics, computer science, and transferable skills. EIFFEL’s ambition is to form a new generation of creative, entrepreneurial
and innovative young researchers with the organisational abilities needed to succeed in interdisciplinary high-tech sectors.",2642112.0,https://cordis.europa.eu/project/id/101119780,na
